"MISSING","KMI","EACI","IKNNI","KNNI","SKNN","...7","...8","MISSPCT","ALGORITHM","NRMSE"
10,0.42,0.29,0.23,0.23,0.23,NA,NA,10,"KMI",0.42
30,0.4,0.3,0.24,0.25,0.24,NA,NA,30,"KMI",0.4
50,0.39,0.3,0.25,0.26,0.26,NA,NA,50,"KMI",0.39
70,0.4,0.31,0.26,0.27,0.26,NA,NA,70,"KMI",0.4
NA,NA,NA,NA,NA,NA,NA,NA,10,"EACI",0.29
NA,NA,NA,NA,NA,NA,NA,NA,30,"EACI",0.3
NA,NA,NA,NA,NA,NA,NA,NA,50,"EACI",0.3
NA,NA,NA,NA,NA,NA,NA,NA,70,"EACI",0.31
NA,NA,NA,NA,NA,NA,NA,NA,10,"IKNNI",0.23
NA,NA,NA,NA,NA,NA,NA,NA,30,"IKNNI",0.24
NA,NA,NA,NA,NA,NA,NA,NA,50,"IKNNI",0.25
NA,NA,NA,NA,NA,NA,NA,NA,70,"IKNNI",0.26
NA,NA,NA,NA,NA,NA,NA,NA,10,"KNNI",0.23
NA,NA,NA,NA,NA,NA,NA,NA,30,"KNNI",0.25
NA,NA,NA,NA,NA,NA,NA,NA,50,"KNNI",0.26
NA,NA,NA,NA,NA,NA,NA,NA,70,"KNNI",0.27
NA,NA,NA,NA,NA,NA,NA,NA,10,"SKNN",0.23
NA,NA,NA,NA,NA,NA,NA,NA,30,"SKNN",0.24
NA,NA,NA,NA,NA,NA,NA,NA,50,"SKNN",0.26
NA,NA,NA,NA,NA,NA,NA,NA,70,"SKNN",0.26
