"TIME","AVEWT","LOWWT","HIGHWT","HOUR"
6,49.6,48.7,50.7,1
7,50.2,49.1,51.2,2
8,50.6,49.6,51.4,3
9,50.8,50.2,51.8,4
10,49.9,49.2,52.3,5
11,50.3,48.6,51.7,6
12,48.6,46.2,50.4,7
1,49,46.4,50,8
2,49,46,50.6,9
3,49.8,48.2,50.8,10
4,50.3,49.2,52.7,11
5,51.4,50,55.3,12
6,51.6,49.2,54.7,13
7,51.8,50,55.6,14
8,51,48.6,53.2,15
9,50.5,49.4,52.4,16
10,49.2,46.1,50.7,17
11,49,46.3,50.8,18
12,48.4,45.4,50.2,19
1,47.6,44.3,49.7,20
2,47.4,44.1,49.6,21
3,48.2,45.2,49,22
4,48,45.5,49.1,23
5,48.4,47.1,49.6,24
6,48.6,47.4,52,25
7,50,49.2,52.2,26
8,49.8,49,52.4,27
9,50.3,49.4,51.7,28
10,50.2,49.6,51.8,29
11,50,49,52.3,30
12,50,48.8,52.4,31
1,50.1,49.4,53.6,32
2,49.7,48.6,51,33
3,48.4,47.2,51.7,34
4,47.2,45.3,50.9,35
5,46.8,44.1,49,36
6,46.8,41,51.2,37
7,50,46.2,51.7,38
8,47.4,44,48.7,39
9,47,44.2,48.9,40
10,47.2,46.6,50.2,41
11,48.6,47,50,42
12,49.8,48.2,50.4,43
1,49.6,48.4,51.7,44
2,50,49,52.2,45
3,50,49.2,50,46
4,47.2,46.3,50.5,47
5,47,44.1,49.7,48
6,48.4,45,49,49
7,48.8,44.8,49.7,50
8,49.6,48,51.8,51
9,50,48.1,52.7,52
10,51,48.1,55.2,53
11,50.4,49.5,54.1,54
12,50,48.7,50.9,55
1,48.9,47.6,51.2,56
2,49.8,48.4,51,57
3,49.8,48.8,50.8,58
4,50,49.1,50.6,59
5,47.8,45.2,51.2,60
6,46.4,44,49.7,61
7,46.4,44.4,50,62
8,47.2,46.6,48.9,63
9,48.4,47.2,49.5,64
10,49.2,48.1,50.7,65
11,48.4,47,50.8,66
12,47.2,46.4,49.2,67
1,47.4,46.8,49,68
2,48.8,47.2,51.4,69
3,49.6,49,50.6,70
4,51,50.5,51.5,71
5,50.5,50,51.9,72
