"INDUSTRY","PAH1","PAH2","SITE"
"Development",0.62,1.04,1
"Development",0.63,1.02,1
"Development",0.66,1.07,1
"Development",0.67,1.18,1
"Development",0.61,1.02,1
"Development",0.67,1.09,1
"Development",0.66,1.1,1
"IndustryA",0.62,0.95,2
"IndustryA",0.66,1.09,2
"IndustryA",0.7,0.96,2
"IndustryA",0.56,0.97,2
"IndustryA",0.56,1,2
"IndustryA",0.57,1.03,2
"IndustryA",0.6,0.97,2
"IndustryA",0.58,1.015,2
"IndustryB",0.77,1.13,3
"IndustryB",0.72,1.11,3
"IndustryB",0.56,0.98,3
"IndustryB",0.705,1.13,3
"IndustryB",0.67,1.14,3
"IndustryC",0.675,1.115,4
"IndustryC",0.65,1.06,4
