"ORDER","DAYS"
1,0.57014
2,0.07431
3,0.15278
4,0.14583
5,0.13889
6,0.14931
7,0.03333
8,0.08681
9,0.33681
10,0.03819
11,0.24653
12,0.29514
13,0.11944
14,0.05208
15,0.125
16,0.25
17,0.40069
18,0.025
19,0.12014
20,0.11458
21,0.00347
22,0.12014
23,0.04861
24,0.02778
25,0.32639
26,0.64931
27,0.14931
28,0.01389
29,0.03819
30,0.46806
31,0.22222
32,0.29514
33,0.53472
34,0.15139
35,0.52569
36,0.07986
37,0.27083
38,0.04514
39,0.13542
40,0.08681
41,0.40347
42,0.12639
43,0.18403
44,0.70833
45,0.15625
46,0.24653
47,0.04514
48,0.01736
49,0.08889
50,0.05208
51,0.02778
52,0.03472
53,0.23611
54,0.35972
